June,czerwca
scowl,Znika z grymasem a kiedy podniósł głowę ponury prawie złośliwy grymas poczerniał na jego twarzy
nod,i
elephant,Na schodach słychać kroki słonia
tread,się
seeking,w i
taps,Trzy dotknięcia oznaczają porę obiadową Drzwi otwierają się na górze o ósmej dwadzieścia po czym słychać trzy delikatne stuknięcia w podłogę
dinnertime,Trzy dotknięcia oznaczają porę obiadową
Be,do
Otto,Cicho Otto
Walk,Idź cicho
sample,Próbka
flushing,żadnego
whatsoever,żadnego się
gentle,i
cereal,na
clamber,Wchodzę po schodach żeby dostać moje psie danie
doggie,Wchodzę po schodach żeby dostać moje psie danie
Back,szybko iz powrotem
shove,Czeszę włosy odkładam nocnik i odsuwam łóżko na miejsce
striking,i
shuffles,zmienia buty i szuranie po pokoju w kapciach
Charlie,też prawdziwy Charlie Chaplin
Chaplin,też prawdziwy Charlie Chaplin
ditto,Ojciec i matka to samo Fairfax jw
sagging,na skraju obwisłego skrzypiącego łóżka które nie ma nawet porządnego materaca
squeaky,na skraju obwisłego skrzypiącego łóżka które nie ma nawet porządnego materaca Ma taki piskliwy głos małego dziecka że mama odruchowo powiedziała
mattress,na skraju obwisłego skrzypiącego łóżka które nie ma nawet porządnego materaca
bolsters,w i
disappointed,się
whichever,na
knits,się
eyebrows,brwi i
forming,się
curve,się
reappearing,się
buries,się
announcement,i
capitulated,Włochy skapitulowały
unconditionally,Włochy bezwarunkowo poddały się
surrendered,się
broadcast,z w
Listeners,Słuchacze godzinę i piętnaście minut temu kiedy skończyłem pisać codzienne sprawozdanie otrzymaliśmy wspaniałą wiadomość o kapitulacji Włoch
tossed,i
wastepaper,na
Save,Co
American,i
national,amerykański hymn narodowy i rosyjski Internationale
anthem,amerykański hymn narodowy i rosyjski Internationale
Internationale,amerykański hymn narodowy i rosyjski Internationale
played,i
program,zawsze był
uplifting,był
optimistic,był optymistyczny jestem
Naples,w Neapolu i
Northern,Północne Włochy są okupowane przez Niemców Następnie przeczytałem więcej o wojnie północnej wybrzeża Norwegii usiane wyspami od jej południowego krańca Lindeness czyli Naze do Przylądka Północnego Gdzie Północny Ocean w ogromnych wirach wrze wokół nagich melancholijnych wysp Najdalszego Thule
signed,i
ranting,i
raving,i
treachery,i do jej
Badoglio,i
Italian,i
king,i mój
unfailingly,i dużo
amazingly,i dużo
brave,i
enters,do
shine,i
errand,zadanie do
Relationships,Relacje tutaj w Aneksie cały czas się pogarszają
mealtime,posiłku i
resent,to
touchy,jak
Voskuijls,jak
valerian,ale niż
depression,depresji
drops,i
sag,Czasami boję się że moja twarz opadnie z powodu całego tego smutku a usta na stałe opadną w kącikach
permanently,na
droop,Czasami boję się że moja twarz opadnie z powodu całego tego smutku a usta na stałe opadną w kącikach
corners,na w
dreading,się
terror,i w
brighten,być może aby do
lab,że do
supplies,Kleiman do zaopatrzenia Opekty podczas gdy p Dlaczego mielibyśmy oddawać wszystkie nasze zapasy Potrzebujemy ich równie bardzo van Hoeven człowiek który dostarcza nam ziemniaki i powiedział mu o włamaniu
belong,i
unreliable,że
possess,i nie
flimsy,ojciec na
cautious,ostrożny za
drugstore,Kugler chciał być wyjątkowo ostrożny więc dwadzieścia po dwunastej włożył płaszcz i poszedł do apteki za rogiem
sneaked,się
thief,Niecałe pięć minut później wrócił i zakradł się po schodach jak złodziej aby nas odwiedzić Kto jest złodziejem Diabeł przyszpilający plecak złodzieja za nim szybko minąłem
warned,że mnie
negotiate,Pokonanie schodów zajęło mu piętnaście minut ale po wejściu z zewnątrz znalazł się bezpiecznie w biurze
tiptoeing,Ale on już wyszedł iw tej chwili nadal schodził po schodach na palcach
Such,się
errands,spraw naszymi
insisting,Dziesięć razy dziennie ludzie wysyłali ją po coś za każdym razem nalegając żeby odeszła od razu lub znowu albo że zrobiła wszystko źle
sprained,jest
tether,jest
drama,W dramat
complained,nie
leper,że
luckily,na
occasion,że i
moon,księżyc i na
beam,jak
brewing,z
cheating,Ojciec jest wściekły bo nas oszukują
bombshell,Och jaka bomba zaraz wybuchnie Gdybym tylko nie był tak zaangażowany we wszystkie te potyczki
skirmishes,Och jaka bomba zaraz wybuchnie Gdybym tylko nie był tak zaangażowany we wszystkie te potyczki
driving,i
cheerfully,wesoło
creating,Stracił ostatnie sto guldenów w magazynie co nadal sprawia nam kłopoty
Suspicion,Mnóstwo podejrzeń
abounds,Mnóstwo podejrzeń
scads,ma mnóstwo sukienek płaszczy i butów bez których nie może się obejść
block,się
nobody,nie
fur,i
upkeep,Jej zdaniem firma powinna płacić za nasze utrzymanie ale to śmieszne
row,i
oh,och
reconciliation,pojednania Nie z
boggles,W głowie mi się nie mieści wulgaryzmów jakie ten zaszczytny dom musiał znosić w ciągu ostatniego miesiąca
profanity,W głowie mi się nie mieści wulgaryzmów jakie ten zaszczytny dom musiał znosić w ciągu ostatniego miesiąca
honorable,W głowie mi się nie mieści wulgaryzmów jakie ten zaszczytny dom musiał znosić w ciągu ostatniego miesiąca
endure,znieść
walks,i
hears,słyszy
upon,się i na
wrought,i
blotched,Matka jest tak wypierana jej policzki są poplamione czerwienią Margot skarży się na bóle głowy Dussel nie może zasnąć pani
headaches,Matka jest tak wypierana jej policzki są poplamione czerwienią Margot skarży się na bóle głowy Dussel nie może zasnąć pani
frets,progi i opary przez cały dzień a ja całkowicie przeszedłem za zakręt
fumes,i
raging,szalejących i
battles,stoczyli więcej szalejących bitew
overcoat,Chcieli sprzedać płaszcz i garnitur pana
buyers,van D s ale nie mogli znaleźć kupców
furrier,Kleiman mówił o kuśnierze którego zna
rabbit,królika
seventeen,i
325,dostałem za to 325 guldenów ogromną kwotę
desperately,rozpaczliwie
expenses,że
stamping,i
swearing,krzyków ale
terrifying,To było przerażające
drag,na
stress,i
strain,i
thanking,i
Goodness,Boże wyglądasz okropnie
plying,podają mi dekstrozę tran z dorsza drożdże piwne i wapń
dextrose,podają mi dekstrozę tran z dorsza drożdże piwne i wapń
cod,podają mi dekstrozę tran z dorsza drożdże piwne i wapń
liver,podają mi dekstrozę tran z dorsza drożdże piwne i wapń
oil,i
brewer,z
yeast,z
calcium,podają mi dekstrozę tran z dorsza drożdże piwne i wapń
stifling,i
sluggish,Atmosfera jest duszna powolna ołowiana
leaden,Atmosfera jest duszna powolna ołowiana
Outside,Na zewnątrz
deathly,mnie
oppressive,mnie
hangs,mnie
clings,nie i do
deepest,i do mnie
regions,i
underworld,mnie
wander,i
songbird,się i
wings,i
ripped,się i
hurling,i
bars,i
cage,się
Sleep,zabić
kill,zabić się
develop,się nie
catalog,Aby oderwać się od spraw i je rozwijać Ojciec zamówił katalog w szkole korespondencyjnej
pored,się
brochure,Margot trzykrotnie przejrzała grubą broszurę nie znajdując niczego co by jej się podobało iw ramach swojego budżetu
liking,nie w i
budget,Margot trzykrotnie przejrzała grubą broszurę nie znajdując niczego co by jej się podobało iw ramach swojego budżetu
satisfy,mnie
trial,i to w aby
lesson,i
Elementary,Elementarna łacina
Latin,i
enthusiastically,Gdy lekcja nadeszła Margot z entuzjazmem przystąpiła do pracy i pomimo kosztów zdecydowała się na kurs
expense,nie
project,a albo
Bible,i
Testament,i
perturbed,było i
Jesus,i tak
brushing,takie
complaints,i
clouds,się
dust,i
whirling,deszczem
caked,Matkę rozbolała głowa od gęstych kłębów kurzu wirujących po pokoju nowy łaciński słownik Margot był oblepiony brudem a krawędź narzekała że Na szczęście jestem w stanie tylko z wyjątkiem kilku rzadkich okazji patrzeć na naturę przez zakurzone zasłony przyklejone do zabrudzonych okien
dirt,do i
rim,się nie
grumbled,narzekała nie
Small,Małe dzięki za mój ból
mornings,się z
risky,Myślę że to ryzykowne
smoking,w
firmly,się
urge,się i
storm,i
response,odpowiedź
Easy,to
tempestuous,W tej chwili burzliwe kłótnie ucichły
bat,van D niezmiennie nazywa ją starym nietoperzem
hag,wiedźma z się na wiedźmę jak
conversely,i odwrotnie pani
maid,jej i pokojówka
neurotic,drażliwa neurotyczna stara panna itp
spinster,drażliwa neurotyczna stara panna itp Nigdy nie byłeś żonaty Jesteś panną Diana zaśmiała się
EVENING,WIECZÓR
moods,w
dependent,że
rearrange,jestem w
mingle,w z
stems,to z na włóczęgi
cowardice,to
confronts,to z
churned,się
dungeon,w
desperation,się
envies,Miep często mówi że nam zazdrości bo mamy tu taki spokój i ciszę
obviously,najwyraźniej nie oczywiście w
castle,zamku w z
Ii,coś co nigdy się nie spełni O piątej piętnaście wyszliśmy na strych frontowy Ii gdzie zostaliśmy do szóstej
patch,i z
sky,i
menacing,Widzę nas ośmiu w Aneksie jakbyśmy byli skrawkiem błękitnego nieba otoczonego groźnymi czarnymi chmurami
ring,i
tighter,jest się a
desperate,i
search,do
bumping,Otacza nas ciemność i niebezpieczeństwo a w naszych desperackich poszukiwaniach wyjścia wpadamy na siebie nawzajem więc nie będę dalej uderzać głową o szafkę
mass,w i się
looms,Wisi przed nami jak nieprzenikniona ściana próbując nas zmiażdżyć ale jeszcze nie jest w stanie
impenetrable,Wisi przed nami jak nieprzenikniona ściana próbując nas zmiażdżyć ale jeszcze nie jest w stanie
crush,się
implore,i błagać zanim na
title,tytuł
Ode,Oda do mojego pióra wiecznego
Fountain,Oda do mojego pióra wiecznego
Pen,Oda do mojego pióra wiecznego
Memoriam,Ku pamięci
prized,Moje wieczne pióro zawsze było jednym z moich najcenniejszych przedmiotów
valued,że
nib,Bardzo go ceniłem zwłaszcza że miał grubą stalówkę a ładnie pisać mogę tylko grubymi stalówkami Nie pozostał ani ślad po złotej stalówce
nibs,Bardzo go ceniłem zwłaszcza że miał grubą stalówkę a ładnie pisać mogę tylko grubymi stalówkami
summarize,Wiodło długie i interesujące życie które podsumuję poniżej
commercial,w języku angielskim i
value,i
kindly,i
donor,uprzejmy dawca
winds,w i się
howled,Leżałem w łóżku z grypą podczas gdy lutowe wiatry wyły wokół kamienicy
splendid,i
Me,Ja i
pens,mój
inkpots,mój
zipper,miał
impressive,nie
diaries,i się pamiętniki
compositions,i
unused,się w
mold,lub
restore,do
dumped,wrzuciłem do
flame,i
miraculous,i że to
recovery,że
vanished,zniknął i
celluloid,że
inflammable,że
darkest,Nasze najmroczniejsze obawy potwierdziły się następnego dnia gdy ojciec poszedł opróżnić piec i wśród popiołów znalazł spinkę którą mocował go do kieszeni
confirmed,to że
clip,Nasze najmroczniejsze obawy potwierdziły się następnego dnia gdy ojciec poszedł opróżnić piec i wśród popiołów znalazł spinkę którą mocował go do kieszeni
fasten,się i
ashes,i
trace,na i
gold,i
stone,na i
conjectured,przypuszczał z się że
cremated,moje wieczne pióro zostało poddane kremacji tak jak chciałbym kiedyś zostać
Recent,Ostatnie wydarzenia sprawiły że dom kołysał się na fundamentach
rocking,na
foundations,Ostatnie wydarzenia sprawiły że dom kołysał się na fundamentach Cudowny wstrząs uczuć przyszedł jak trzęsienie ziemi które wstrząsnęło fundamentami więzienia Pawła i Sylasa
outbreak,Z powodu wybuchu błonicy w Bep s nie będzie mogła się z nami kontaktować przez sześć tygodni
diphtheria,Z powodu wybuchu błonicy w Bep s nie będzie mogła się z nami kontaktować przez sześć tygodni
contact,w
gruel,i
sends,wysyła
corrects,Margot wysyła swoje lekcje łaciny nauczycielowi który poprawia je a następnie zwraca
returns,z w i że tak wróci
registered,Jest zarejestrowana pod nazwiskiem Bep
breaking,i
November,listopada i
anniversary,rocznica ojca
alluded,i nie że Nie wspomniałem o
bones,i w
unselfishly,Zamiast skorzystać z okazji by podziękować nam po raz pierwszy za bezinteresowne przyjęcie go nie powiedział ani słowa
congratulations,czy z
condolences,czy
peacemaker,się
headway,się
exaggeration,Mogę bez przesady powiedzieć że Dussel zdecydowanie poluzował śrubkę
screw,Mogę bez przesady powiedzieć że Dussel zdecydowanie poluzował śrubkę
loose,luźny
memory,się z pamięci
amused,i
garbled,wiadomość
transmission,wiadomość
reproach,nie
accusation,się przed
promises,nie Nie ambitny jej są
manages,Co więcej odpowiada na każde wyrzuty lub oskarżenia ładunkiem dobrych obietnic 1 których nigdy nie udaje mu się dotrzymać
puny,słabe
deeds,czynów
rags,Widziałem ją tam ubraną w łachmany z cienką i znoszoną twarzą
sadness,w smutku
rescue,mnie mi
hell,tego i
suffer,i
misjudged,Źle ją oceniłem nie byłem wystarczająco dojrzały by zrozumieć jakie to było dla niej trudne Boli mnie źle oceniana przez tak dobrą kobietę Idź do swojego pokoju i załóż czapkę odpowiedział
devoted,i
flash,i
understanding,i
selfishly,ale potem samolubnie pogrążyłem się w moich własnych problemach i przyjemnościach
pleasures,i
helplessly,To było z mojej strony traktować ją w ten sposób a teraz patrzyła na mnie och tak bezradnie swoją bladą twarzą i błagalnymi oczami
beseeching,To było z mojej strony traktować ją w ten sposób a teraz patrzyła na mnie och tak bezradnie swoją bladą twarzą i błagalnymi oczami
deadly,tak zniszczyło
chosen,i
entirely,całkowicie
Merciful,Miłosierny Boże pociesz ją żeby przynajmniej nie była sama
dwelling,i
haunt,się
foisted,naprawdę
undo,Nie mogę pomóc ani cofnąć zła które zrobiłem
festively,Mikołaja tym bardziej wszyscy myśleliśmy o zeszłorocznym świątecznie udekorowanym koszu
skip,że na
deliberation,końcu
consulted,się
laundry,i
cutouts,na
bows,na
carbon,na
wrapping,i
attached,się do
amazed,że zdumiony
hideaway,Przybył nawet do naszej kryjówki
Jun,Obawiam się że nie będzie tak jak Jun
hopeful,nadziei i nic
win,zawsze
package,Wewnątrz każdego buta znajdowało się zapakowane opakowanie zaadresowane do właściciela podarował mu słoik z piccalilli i paczkę żyletek a pan
prevented,do się
Being,i
blanket,i
tickle,Przez większość czasu łaskotanie nie chciało mijać więc musiałem pić mleko z miodem cukrem lub kroplami na kaszel Nie tylko łaskotały go włosy ale byłam zawstydzona mimo że trzydzieści lat temu poszedł do szkoły i ma jakieś wykształcenie medyczne
milk,i
honey,na dwa i się
cures,Dostaję zawrotów głowy na samą myśl o wszystkich kuracjach którym zostałem poddany
subjected,poddany w tak
steam,okłady i para
wet,i
compresses,okłady
drinks,się
swabbing,okłady
pad,okłady
bottles,funtów słoiki
thermometer,okłady
remedies,Czy te środki naprawdę sprawią że poczujesz się lepiej Najgorsze było gdy pan
pomaded,Dussel postanowił zagrać lekarza i położył pomadowaną głowę na mojej nagiej piersi żeby nasłuchiwać dźwięków
medical,i
unhealthy,Zresztą nie byłby w stanie odróżnić zdrowego dźwięku od niezdrowego Niezdrowy charakter witryny
cleaned,nie
alarmingly,Najpierw musiałby wyczyścić uszy ponieważ stał się alarmująco słaby
fiddle,Znowu jestem sprawny jak skrzypce
itching,Jestem blada ale nie mogę się doczekać powrotu do książek
isolation,izolacji ale jej nie
contagious,Bep jest nadal w izolacji ale od teraz jej siostra nie będzie już zarażona
shiny,i
saved,i
fondant,Kleiman użył go do zrobienia kremówki
drizzly,Pogoda jest mżawka i pochmurno kuchenka śmierdzi a jedzenie ciężko leży na naszych żołądkach powodując różne dudnienia
overcast,i
stinks,Pogoda jest mżawka i pochmurno kuchenka śmierdzi a jedzenie ciężko leży na naszych żołądkach powodując różne dudnienia
stomachs,i
producing,i
rumbles,Pogoda jest mżawka i pochmurno kuchenka śmierdzi a jedzenie ciężko leży na naszych żołądkach powodując różne dudnienia
impasse,Wojna jest w impasie duchy są słabe
tendency,na jest do się
affect,na
applies,dotyczy
canoe,i
trips,i
teas,i
hurts,tak że
lepers,i
Year,i Roku
burying,z
breathe,powietrzem z pokoju do oddycham
bold,i
Believe,mi Wierz
unjust,że
dance,i
discontent,się
ingratitude,czy i
Crying,Płacz może przynieść ulgę o ile nie płaczesz sam
Despite,Mimo
theories,i dnia czasu
efforts,i
mom,co
shorten,Czasami skracam to do
imperfect,w
meaning,znaczenia ani i
intimate,o nie się
secrets,i w
express,wyrazić
inkling,nie o się
fool,nie i
accommodating,To sprawiło że był bardzo przychylny ponieważ nie jest ślepy na błędy matki
blind,na
Peace,Pokój 1944
prewar,na z
standards,napisane na górze a Bep dostarczył partię plików cookie które spełniały przedwojenne standardy
yogurt,jogurtu
beer,dla
nicely,ładnie Czy
glued,I jeszcze raz wszystko było tak ładnie zapakowane z ładnymi obrazkami przyklejonymi do paczek
suffered,i
guarding,I pomyśleć że przez cały ten czas pilnie strzegła swojego strasznego sekretu Johnie gdy dotarliśmy do pierwszych maruderów batalionu skał strzegących swego rodzaju przełęczy za którą skoczył wodospad
loyal,że
misbehaved,się
reminder,że
Shouldn,i
faith,w
Thinking,Myślenie o cierpieniu bliskich Ci osób może doprowadzić cię do łez
reduce,Myślenie o cierpieniu bliskich Ci osób może doprowadzić cię do łez
perform,i
miracle,i
thunderclouds,Niemniej jednak kilka ciemnych burzowych chmur zmierza w tę stronę a wszystko to z powodu
heading,Niemniej jednak kilka ciemnych burzowych chmur zmierza w tę stronę a wszystko to z powodu Wręcz przeciwnie wciąż gada kiedy wychodzę za drzwi van Daan jak zwykle zmierzał do pana
frying,i
dividing,i z
fats,i
oils,i
doled,to
developments,Dam ci znać jeśli pojawią się jakieś interesujące zmiany
splitting,Od kilku miesięcy dzielimy mięso
extras,dodatki a teraz także smażone ziemniaki
fried,na i
copied,mnie
Queen,i
leafed,Tego ranka kiedy nie miałem nic do roboty przewertowałem strony swojego pamiętnika i natknąłem się na tak wiele listów poruszających temat
strong,i
shocked,zszokowany
apologies,i nie
perspective,mi tylko z a się że nie
considering,na
mercurial,z
temperament,z temperamentem
acting,i się
hid,i
affectionate,czuła i ją bo się
beastly,i
vicious,i
unpleasantness,Wpadliśmy w błędne koło przykrości i smutku
understandable,jest
violent,i
names,i
tearfully,Skończył się okres osądzania Matki ze łzami w oczach
wiser,mądrzejszy tak i
steadier,Stałem się mądrzejszy a nerwy matki są trochę stabilniejsze
devotion,i
soothe,go
candidate,ale się
sees,widzi
daughters,jej
conversations,rozmów
foremost,która
possesses,która w
tact,która ma taktu nie
adolescent,która nastolatków
pokes,która
forgiven,że
planned,i
sweetly,słodko
Tears,Łzy napłynęły mi do oczu
Strangely,O dziwo mimo że matka zraniła mnie tysiące razy ta konkretna rana wciąż kłuje ilekroć pomyślę jak bardzo byłam zła
stings,O dziwo mimo że matka zraniła mnie tysiące razy ta konkretna rana wciąż kłuje ilekroć pomyślę jak bardzo byłam zła
revolt,w
article,się
blushing,się
Sis,Sis Heyster się że i
Heyster,Sis Heyster się że i
blush,się
basically,w
puberty,w
withdraw,się
recent,i
embarrassment,z i
shyer,Z drugiej strony Margot jest dużo bardziej nieśmiała niż ja a mimo to wcale się nie wstydzi
discomfort,że i
insecure,że i
individuals,w
habits,i
independent,i
breasts,w
steady,i
Unconsciously,Nieświadomie miałem takie uczucia jeszcze zanim tu przyjechałem
spending,Czy
restrain,nie powstrzymać
kiss,i nie
nude,w
Venus,w
ecstasy,w
exquisite,i
struggle,i
select,do
dared,się
linger,a
noticing,jego Nie się mojego
crossword,przez nie nic
craze,i
bashful,w jego i że
innermost,i z nie
helplessness,jego
uncertainty,i niepewności
flicker,jego
awareness,jego
masculinity,jego
shyness,jego nieśmiałość się Nie z to go
beneath,pod i
secure,nie się
favors,że
revolting,Pomysł że muszę błagać Piotra o przysługę był po prostu odrażający
longings,i
drawings,rysunki
Mary,Mary i
Bos,Patrzyliśmy na książkę z rysunkami Mary Bos
velvety,Oczy Petera nagle spotkały moje a ja patrzyłem przez długi czas w te aksamitnie brązowe oczy
abruptly,nagle
emotion,i
soft,i
cool,i
staring,jego i głęboko w jak bardzo nie
Again,Znowu się i
certainty,się
images,To zabawne ale często mam w snach takie żywe obrazy
crinkly,Pewnej nocy zobaczyłem Grammy tak wyraźnie że mogłem nawet dostrzec jej skórę z miękkiego marszczonego aksamitu
velvet,z w
guardian,jej
angel,i
symbolizes,Żydów się za wszystkich
praying,się
photograph,Nie potrzebuję zdjęcia tak dobrze go widzę Sam stół byłby wart sfotografowania
idiot,się
kindergarten,Kiedy byłam małą dziewczynką jeszcze w przedszkolu polubiłam Sally Kimmel
Sally,Sally
Kimmel,Kiedy byłam małą dziewczynką jeszcze w przedszkolu polubiłam Sally Kimmel
aunt,nie
cousins,i
slender,i
haired,i
Appy,Sally
idol,i
admiration,i
chubby,Sally
unrequited,Przez długi czas chodziliśmy wszędzie razem ale poza tym moja miłość była nieodwzajemniona dopóki Peter nie stanął mi na drodze
path,i się
inseparable,On też mnie lubił i byliśmy nierozłączni przez całe lato
tall,i
intelligent,i
ruddy,i na
pointed,na
boyish,Szalałem na punkcie jego uśmiechu przez co wyglądał tak chłopięco i figlarnie
mischievous,Szalałem na punkcie jego uśmiechu przez co wyglądał tak chłopięco i figlarnie
countryside,Wyjechałem na wieś podczas letnich wakacji i kiedy ja
clinging,go że
honored,się i
attentions,i nie mnie
heals,i
memories,że
confusion,i
kissed,mnie i
repeating,i to na
Petel,Petel
sex,o
rosy,i
softer,i
Wouldn,Petel się nie w
magnitude,w
Which,i
peaceful,i
soul,i
surrender,Poddaję się całkowicie
imagined,sobie
Moments,Chwilę później poczułem jego usta i cudowny policzek
Think,o
ballet,taneczne i
diligently,taneczne i pilnie
practicing,taneczne i swoje
ultramodern,Zrobiłam ultranowoczesny kostium taneczny z koronkowej lawendowej halki należącej do Momsy
costume,do
lacy,Zrobiłam ultranowoczesny kostium taneczny z koronkowej lawendowej halki należącej do Momsy
lavender,Zrobiłam ultranowoczesny kostium taneczny z koronkowej lawendowej halki należącej do Momsy
belonging,nie
Bias,Lamówka przewleczona przez górę i zawiązana tuż nad biustem
threaded,i
tied,i
bust,i
corded,na
ribbon,Całość dopełnia różowa wstążka ze sznurkiem
completes,Całość dopełnia różowa wstążka ze sznurkiem
ensemble,Całość dopełnia różowa wstążka ze sznurkiem
limbs,kończyny
limber,Moje sztywne kończyny są na dobrej drodze aby stać się tak gibkie jak kiedyś
heel,w
cushion,na
Cloudless,Wszyscy tutaj czytają książkę pod tytułem Bezchmurny poranek
Morning,Wszyscy tutaj czytają książkę pod tytułem Bezchmurny poranek Rano w południe i wieczorem nie mogę się doczekać spotkania z Peterem
describes,to opisuje nie
ironically,Pomyślałem sobie trochę ironicznie
adolescents,nie o
believes,że
relationship,że i
Far,Daleko
bewildered,się
spare,na i
grief,i
catty,Obecnie nie jest już taka zjadliwa i staje się prawdziwą przyjaciółką
leisurely,i
browse,i przeglądaj strony jej życia jakby była obca
outsider,nie czasu do że i
pretending,Czasami chodziłem po mieście przez sześć miesięcy udając sierotę
orphan,i
chastise,Potem karałbym się za udawanie ofiary podczas gdy tak naprawdę zawsze miałem takie szczęście
greet,Powitałem ją serdecznie bo szczerze nie mogłem się doczekać jej czułego spojrzenia Fairfax Adèle Sophie Leah podeszły aby nas spotkać i powitać
warmly,Powitałem ją serdecznie bo szczerze nie mogłem się doczekać jej czułego spojrzenia Panna Miller bardzo mnie pochwaliła
honesly,Powitałem ją serdecznie bo szczerze nie mogłem się doczekać jej czułego spojrzenia
discouraged,zniechęca
excuses,i
worries,nie
nineteen,do
dozen,i
pensive,i
resolution,i
lend,i
fondle,Pieszczę mój wisiorek przyciskam go do ust i myślę
pendant,Pieszczę mój wisiorek przyciskam go do ust i myślę
press,do co
describing,w
detail,w
rye,chleba żytniego ponieważ
hungry,głodny
rumbling,się
rapidly,szybko
sparked,Kuglera co wywołało zazdrość u van Daansa bo pani
jealousy,i
spiteful,i
expressed,i
shares,się
boat,na
jumping,i
human,i
beanstalk,Głoszę ale wierzę też że jeśli będę tu dłużej mieszkał zamienię się w wyschniętą starą łodygę fasoli
dreamed,się
penetrate,i
unreasonable,i
hugs,niż
preoccupied,Czy to nie się bardzo
forgive,nie
mocha,Na urodziny mamy otrzymała z biura prawdziwy tort mokka przedwojennej jakości
lengths,się że
selves,się że
closest,się że
biased,i
radical,gdyby była bardzo
tricky,nie
underhanded,i nie
readily,nie że
provoke,i nie
conflicts,o
pampering,o
injustices,z Od
ape,i nie w
proverb,na przysłowie
reexamine,co
blown,i
differences,nie mojej
reputation,i nie mojej sprytnego alecka co
aleck,i nie mojej sprytnego alecka co
impartial,mojej
negative,nie
gossiping,nie
convinced,że
largely,w
secretive,w albo
wondered,się
information,informacje
Never,nie
tomcat,kocur
swelling,na dostatecznie o w
tummy,Okazało się jednak że gruby brzuch Bochego jest spowodowany kradzionymi kośćmi
due,z
horsing,Pewnego dnia włóczyłem się z kotem i na pewno widziałem że to on
mustered,Zebrałem się na odwagę by samodzielnie przejść przez cichy dom i dotarłem do magazynu
courage,i
Hi,Cześć chcesz rzucić okiem
preliminaries,i
deftly,i
paws,i
sexual,narząd płciowy
organ,się
stray,i w
flipped,Kot przewrócił się i wstał na swoich małych białych nóżkach
ulterior,Nie miał też żadnych ukrytych motywów
motives,jest
ease,się i
chatted,i
sauntered,się
Were,Czy
Yeah,Jasne Tak mam urodziny
anesthetic,Oczywiście podają kotu środek znieczulający
vet,weterynarz
snips,Nie weterynarz po prostu przecina rurkę
tube,Nie weterynarz po prostu przecina rurkę
nerve,się i
Geschlechtsteil,Peter niemieckie słowo Geschlechtsteil oznacza narząd płciowy prawda Ale wtedy mężczyźni i kobiety mają różne imiona
vagina,to
males,to wiem
accident,się
cracking,są młodzi ludzie nawet płci przeciwnej którzy potrafią omawiać te sprawy w sposób naturalny bez łamania sobie żartów wtedy nie musiałbym się wysilać żeby złamać struny mojego serca wyrywając je spośród pana
genealogical,genealogiczne
tables,i
royal,i
digging,do
deeper,w i
discoveries,i
diligent,i
Home,i
Service,w i
respectable,i
Cinema,egzemplarz Cinema Theatre na i dżemem bułki
magazine,Kugler uszczęśliwia mnie w każdy poniedziałek przynosząc mi egzemplarz magazynu Cinema Theatre Chcę zapytać magazyn The Prince czy wezmą jedną z moich bajek oczywiście pod pseudonimem
worldly,ale nie jak że jestem
indulgence,nie
accurately,Mniej światowi członkowie naszego gospodarstwa domowego często traktują ten mały odpust jako stratę pieniędzy ale nigdy nie przestają być zaskoczeni jak dokładnie potrafię wymienić aktorów w danym filmie nawet po roku
actors,aktorów
rattle,w
actresses,w
reviews,w i recenzje
plots,i
sailing,mogę być
hairstyle,mogę
disapproval,mogę dezaprobatę i że się
invention,to wynalazek jest który mnie
skepticism,Moja odpowiedź że to mój własny wynalazek jest witana z sceptycyzmem
hairdo,Jeśli chodzi o fryzurę to nie utrzymuje się dłużej niż około pół godziny
race,i
curls,i
cow,się
chew,się
stale,nieświeże
fare,się i
yawn,się
secretly,się
Sorry,to jak
ditchwater,jak
trot,i
childhood,i dzieciństwa
racehorses,o
extensive,o i na z się
leaky,o
rowboats,o
swim,i
aching,o i mnie
muscles,o które i mojej się
boils,sprowadza się do tego
punch,się byłem
milkmen,Różni mleczarze sprzedawcy i rzeźnicy z dwóch byłych gospodyń domowych byli wychwalani do nieba lub wpadali na ziemię tyle razy że w naszej wyobraźni zestarzeli się jak Matuzalem
grocers,Różni mleczarze sprzedawcy i rzeźnicy z dwóch byłych gospodyń domowych byli wychwalani do nieba lub wpadali na ziemię tyle razy że w naszej wyobraźni zestarzeli się jak Matuzalem
butchers,Różni mleczarze sprzedawcy i rzeźnicy z dwóch byłych gospodyń domowych byli wychwalani do nieba lub wpadali na ziemię tyle razy że w naszej wyobraźni zestarzeli się jak Matuzalem
housewives,Różni mleczarze sprzedawcy i rzeźnicy z dwóch byłych gospodyń domowych byli wychwalani do nieba lub wpadali na ziemię tyle razy że w naszej wyobraźni zestarzeli się jak Matuzalem
skies,i jak
Methuselah,Różni mleczarze sprzedawcy i rzeźnicy z dwóch byłych gospodyń domowych byli wychwalani do nieba lub wpadali na ziemię tyle razy że w naszej wyobraźni zestarzeli się jak Matuzalem
bearable,to że
embellishing,Kleiman Jan lub Miep za każdym razem upiększając ich kilkoma własnymi szczegółami tak że często muszę ścisnąć ramię pod stołem aby nie skierować entuzjastycznego gawędziarza na właściwy tor
details,nie i szczegóły
pinch,lub aby tabaki
