"June 12, 1942
","12 czerwca 1942
"
"The plumber was at work downstairs on Wednesday, moving the water pipes and drains from the office bathroom to the hallway so the pipes won't freeze during a cold winter
","Hydraulik pracował na dole w środę, przenosząc rury wodne i odpływy z łazienki biurowej na korytarz, aby rury nie zamarzły podczas mroźnej zimy
"
"The plumber's visit was far from pleasant
","Wizyta hydraulika nie była przyjemna
"
"Not only were we not allowed to run water during the day, but the bathroom was also off-limits
","Nie tylko nie pozwalano nam biegać wodą w ciągu dnia, ale także łazienka była niedostępna
"
"I'll tell you how we handled this problem
","Powiem ci, jak poradziliśmy sobie z tym problemem
"
"you may find it unseemly of me to bring it up, but I'm not so prudish about matters of this kind
","może uznasz to za niestosowne, gdybym o tym wspominał, ale nie jestem taki pruderyjny w sprawach tego rodzaju
"
"On the day of our arrival, Father and I improvised a chamber pot, sacrificing a canning jar for this purpose
","W dniu naszego przybycia ojciec i ja zaimprowizowaliśmy nocnik, poświęcając w tym celu słoik z puszką
"
"For the duration of the plumber's visit, canning jars were put into service during the daytime to hold our calls of nature
","Na czas wizyty hydraulika w ciągu dnia oddawano do użytku słoiki z konserwami, aby podtrzymywać nasze wezwania natury
"
"As far as I was concerned, this wasn't half as difficult as having to sit still all day and not say a word
","Jeśli o mnie chodzi, nie było to w połowie tak trudne, jak siedzenie bez ruchu przez cały dzień i milczenie
"
"You can imagine how hard that was for Miss Quack, Quack, Quack
","Możesz sobie wyobrazić, jakie to było trudne dla Miss Quack, Quack, Quack
"
"On ordinary days we have to speak in a whisper
","W zwykłe dni musimy mówić szeptem
"
"not being able to talk or move at all is ten times worse
","brak możliwości mówienia lub poruszania się jest dziesięć razy gorszy
"
"After three days of constant sitting, my backside was stiff and sore
","Po trzech dniach ciągłego siedzenia mój tyłek był sztywny i obolały
"
"Nightly calisthenics helped
","Pomogła nocna kalistenika
"
"Yours, Anne
","Pozdrawiam, Anne
"
"THURSDAY, OCTOBER 1, 1942
","CZWARTEK, 1 PAŹDZIERNIKA 1942
"
"Dear Kitty,
","Drogi Kiciu,
"
"Yesterday I had a horrible fright
","Wczoraj strasznie się bałem
"
"At eight o'clock the doorbell suddenly rang
","O ósmej nagle zadzwonił dzwonek do drzwi
"
"All I could think of was that someone was coming to get us, you know who I mean
","Jedyne, o czym myślałem, to to, że ktoś przyszedł po nas, wiesz, kogo mam na myśli
"
"But I calmed down when everybody swore it must have been either pranksters or the mailman
","Ale uspokoiłem się, kiedy wszyscy przysięgali, że to musiał być dowcipniś albo listonosz
"
"The days here are very quiet
","Dni tutaj są bardzo ciche
"
"Levinsohn, a little Jewish pharmacist and chemist, is working for Mr
","Levinsohn, mały żydowski farmaceuta i aptekarz, pracuje dla pana
"
"Kugler in the kitchen
","Kugler w kuchni
"
"Since he's familiar with the entire building, we're in constant dread that he'll take it into his head to go have a look at what used to be the laboratory
","Ponieważ zna cały budynek, nieustannie boimy się, że weźmie to sobie do głowy, aby rzucić okiem na to, co kiedyś było laboratorium
"
"We're as still as baby mice
","Jesteśmy spokojni jak małe myszy
"
"Who would have guessed three months ago that quicksilver Anne would have to sit so quietly for hours on end, and what's more, that she could?
","Kto by pomyślał trzy miesiące temu, że Rtęć Ania będzie musiała siedzieć tak cicho godzinami, a co więcej, że mogła?
"
"van Daan's birthday was the twenty-ninth
","Urodziny van Daana były dwudziestym dziewiątym
"
"Though we didn't have a
","Chociaż nie mieliśmy
"
"large celebration, she was showered with flowers, simple gifts and good food
","wielka uroczystość, obsypano ją kwiatami, prostymi prezentami i dobrym jedzeniem
"
"Apparently the red carnations from her spouse are a family tradition
","Najwyraźniej czerwone goździki od jej małżonka to rodzinna tradycja
"
"Let me pause a moment on the subject of Mrs
","Pozwolę sobie na chwilę zatrzymać się na temat pani
"
"van Daan and tell you that her attempts to flirt with Father are a constant source of irritation to me
","van Daan i powiem ci, że jej próby flirtowania z ojcem są dla mnie ciągłym źródłem irytacji
"
"She pats him on the cheek and head, hikes up her skirt and makes so-called witty remarks in an effort to get Pim's attention
","Klepie go po policzku i głowie, podnosi spódnicę i robi tak zwane dowcipne uwagi, starając się zwrócić na siebie uwagę Pima.
"
"Fortunately, he finds her neither pretty nor charming, so he doesn't respond to her flirtations
","Na szczęście nie uważa jej za ładną ani czarującą, więc nie reaguje na jej flirt
"
"As you know, I'm quite the jealous type, and I can't abide her behavior
","Jak wiesz, jestem typem zazdrosnym i nie mogę znieść jej zachowania
"
"After all, Mother doesn't act that way toward Mr
","W końcu matka nie zachowuje się w ten sposób w stosunku do pana
"
"van D., which is what I told Mrs
","van D., co powiedziałem pani
"
"van D
","van D.
"
"right to her face
","prosto w jej twarz
"
"From time to time Peter can be very amusing
","Od czasu do czasu Piotr potrafi być bardzo zabawny
"
"He and I have one thing in common
","On i ja mamy jedną wspólną cechę
"
"we like to dress up, which makes everyone laugh
","lubimy się przebierać, co sprawia, że ​​wszyscy się śmieją
"
"One evening we made our appearance, with Peter in one of his mother's skin-tight dresses and me in his suit
","Pewnego wieczoru pojawiliśmy się z Peterem w jednej z obcisłych sukienek jego matki, a ja w jego garniturze
"
"He wore a hat
","Nosił kapelusz
"
"I had a cap on
","Miałem czapkę
"
"The grown-ups split their sides laughing, and we enjoyed ourselves every bit as much
","Dorośli dzielili się ze śmiechu, a my bawiliśmy się równie dobrze
"
"Bep bought new skirts for Margot and me at The Bijenkorf
","Bep kupił dla mnie i Margot nowe spódnice w The Bijenkorf
"
"The fabric is hideous, like the burlap bag potatoes come in
","Tkanina jest ohydna, jak w worku jutowym z ziemniakami
"
"Just the kind of thing the department stores wouldn't dare sell in the olden days, now costing 24.00 guilders
","Po prostu coś, czego domy towarowe nie odważyłyby się sprzedać w dawnych czasach, teraz kosztuje 24,00 guldenów
"
"and 7.75 guilders
","i 7,75 guldenów
"
"We have a nice treat in store
","Mamy w zanadrzu niezłą ucztę
"
"Bep's ordered a correspondence course in shorthand for Margot, Peter and me
","Bep zamówił korespondencyjny kurs stenograficzny dla Margot, Petera i mnie
"
"Just you wait, by this time next year we'll be able to take perfect shorthand
","Poczekaj tylko, do tego czasu w przyszłym roku będziemy w stanie przyjąć doskonałe stenogramy
"
"In any case, learning to write a secret code like that is really interesting
","W każdym razie nauka pisania takiego tajnego kodu jest naprawdę interesująca
"
"I have a terrible pain in my index finger
","Palec wskazujący bardzo mnie boli
"
"on my left hand
","na mojej lewej ręce
"
"so I can't do any ironing
","więc nie mogę prasować
"
"What luck
","Co za szczęście
"
"van Daan wants me to sit next to him at the table, since Margot doesn't eat enough to suit him
","van Daan chce, żebym usiadł obok niego przy stole, ponieważ Margot nie je tyle, ile mu odpowiada
"
"Fine with me, I like changes
","W porządku, lubię zmiany
"
"There's always a tiny black cat roaming around the yard, and it reminds me of my dear sweet Moortje
","Po podwórku zawsze kręci się malutki czarny kot, który przypomina mi moje kochane słodkie Moortje
"
"Another reason I welcome the change is that Mama's always carping at me, especially at the table
","Innym powodem, dla którego cieszę się z tej zmiany, jest to, że mama zawsze się o mnie troszczy, zwłaszcza przy stole
"
"Now Margot will have to bear the brunt of it
","Teraz Margot będzie musiała ponieść ten ciężar
"
"Or rather, won't, since Mother doesn't make such sarcastic remarks to her
","A raczej nie, skoro matka nie rzuca jej tak sarkastycznych uwag
"
"Not to that paragon of virtue
","Nie do tego wzoru cnoty
"
"I'm always teasing Margot about being a paragon of virtue these days, and she hates it
","W dzisiejszych czasach zawsze drażnię Margot, że jest wzorem cnoty, a ona tego nienawidzi
"
"Maybe it'll teach her not to be such a goody-goody
","Może to ją nauczy, jak nie być taką dobroduszką
"
"High time she learned
","Najwyższy czas, żeby się nauczyła
"
"To end this hodgepodge of news, a particularly amusing joke told by Mr
","Kończąc tę ​​plątaninę wiadomości, szczególnie zabawny żart, którego opowiedział pan
"
"van Daan
","van Daan
"
"What goes click ninety-nine times and clack once?
","Co oznacza kliknięcie dziewięćdziesiąt dziewięć razy i jedno kliknięcie?
"
"A centipede with a clubfoot
","Stonoga ze stopą końsko-szpotawą
"
"SATURDAY, OCTOBER 3, 1942
","SOBOTA 3 PAŹDZIERNIKA 1942
"
"Dear Kitty,
","Drogi Kiciu,
"
"Everybody teased me quite a bit yesterday because I lay down on the bed next to Mr
","Wszyscy wczoraj trochę się ze mnie drażnili, bo położyłem się na łóżku obok pana
"
"van Daan
","van Daan
"
"At your age
","W Twoim wieku
"
"and other remarks along those lines
","i inne uwagi w tym zakresie
"
"Silly, of course
","Oczywiście głupie
"
"I'd never want to sleep with Mr
","Nigdy nie chciałbym spać z panem
"
"van Daan the way they mean
","van Daan tak, jak mają na myśli
"
"Yesterday Mother and I had another run-in and she really kicked up a fuss
","Wczoraj mama i ja mieliśmy kolejne starcie i naprawdę przyspieszyła zamieszanie
"
"She told Daddy all my sins and I started to cry, which made me cry too, and I already had such an awful headache
","Opowiedziała tacie o wszystkich moich grzechach i zacząłem płakać, przez co też płakałem i już miałem okropny ból głowy
"
"I finally told Daddy that I love
","W końcu powiedziałem tacie, że kocham
"
"more than I do Mother, to which he replied that it was just a passing phase, but I don't think so
","bardziej niż ja Mamo, na co on odpowiedział, że to tylko przejściowa faza, ale nie sądzę
"
"I simply can't stand Mother, and I have to force myself not to snap at her all the time, and to stay calm, when I'd rather slap her across the face
","Po prostu nie mogę znieść matki i muszę się zmuszać, żeby nie rzucać się na nią przez cały czas i zachować spokój, kiedy wolę uderzyć ją w twarz
"
"I don't know why I've taken such a terrible dislike to her
","Nie wiem, dlaczego wziąłem do niej tak okropną niechęć
"
"Daddy says that if Mother isn't feeling well or has a headache, I should volunteer to help her, but I'm not going to because I don't love her and don't enjoy doing it
","Tatuś mówi, że jeśli mama nie czuje się dobrze lub boli mnie głowa, powinienem zgłosić się na ochotnika, aby jej pomóc, ale nie zamierzam tego robić, ponieważ jej nie kocham i nie sprawia mi to przyjemności
"
"I can imagine Mother dying someday, but Daddy's death seems inconceivable
","Mogę sobie wyobrazić śmierć matki pewnego dnia, ale śmierć taty wydaje się niewyobrażalna
"
"It's very mean of me, but that's how I feel
","To bardzo wredne z mojej strony, ale tak właśnie się czuję
"
"I hope Mother will never read this or anything else I've written
","Mam nadzieję, że mama nigdy nie przeczyta tego ani niczego innego, co napisałem
"
"I've been allowed to read more grown-up books lately
","Ostatnio pozwolono mi czytać więcej dorosłych książek
"
"Eva's Youth by Nico van Suchtelen is currently keeping me busy
","Eva's Youth autorstwa Nico van Suchtelena sprawia, że ​​jestem obecnie zajęty
"
"I don't think there's much of a difference between this and books for teenage girls
","Myślę, że nie ma dużej różnicy między tym a książkami dla nastolatek
"
"Eva thought that children grew on trees, like apples, and that the stork plucked them off the tree when they were ripe and brought them to the mothers
","Ewa pomyślała, że ​​dzieci rosną na drzewach jak jabłka, a bocian zerwał je z drzewa, gdy były dojrzałe i przyniósł matkom
"
"But her girlfriend's cat had kittens and Eva saw them coming out of the cat, so she thought cats laid eggs and hatched them like chickens, and that mothers who wanted a child also went upstairs a few days before their time to lay an egg and brood on it
","Ale kot jej dziewczyny miał kocięta i Eva widziała, jak wychodzą z kota, więc pomyślała, że ​​koty znoszą jaja i wykluwają je jak kurczaki, a matki, które chciały mieć dziecko, również weszły na górę kilka dni przed ich czasem, aby złożyć jaja i potomstwo. na tym
"
"After the babies arrived, the mothers were pretty weak from all that squatting
","Po przybyciu dzieci matki były dość słabe po całym tym kucaniu
"
"At some point, Eva wanted a baby too
","W pewnym momencie Eva też chciała mieć dziecko
"
"She took a wool scarf and spread it on the ground so the egg could fall into it, and then she squatted down and began to push
","Wzięła wełniany szalik i rozłożyła go na ziemi, żeby jajko mogło do niego wpaść, a potem przykucnęła i zaczęła naciskać
"
"She clucked as she waited, but no egg came out
","Cichotała, czekając, ale jajko nie wyszło
"
"Finally, after she'd been sitting for a long time, something did come, but it was a sausage instead of an egg
","W końcu, gdy siedziała przez długi czas, coś się wydarzyło, ale to była kiełbasa zamiast jajka
"
"Eva was embarrassed
","Eva była zawstydzona
"
"She thought she was sick
","Myślała, że ​​jest chora
"
"Funny, isn't it? There are also parts of Eva's Youth that talk about women selling their bodies on the street and asking loads of money
","Zabawne, prawda? Istnieją również części Eva's Youth, które mówią o kobietach sprzedających swoje ciała na ulicy i proszących o mnóstwo pieniędzy
"
"I'd be mortified in front of a man like that
","Byłbym upokorzony przed takim mężczyzną
"
"In addition, it mentions Eva's menstruation
","Ponadto wspomina o menstruacji Evy
"
"Oh, I long to get my period --
","Och, tęsknię za okresem -
"
"then I'll really be grown up
","wtedy naprawdę będę dorosły
"
"Daddy is grumbling again and threatening to take away my diary
","Tatuś znowu narzeka i grozi, że zabierze mi pamiętnik
"
"Oh, horror of horrors
","Och, o zgrozo
"
"From now on, I'm going to hide it
","Od teraz zamierzam to ukrywać
"
"Anne Frank
","Anna Frank
"
"WEDNESDAY, OCTOBER 7, 1942
","ŚRODA, 7 PAŹDZIERNIKA 1942
"
"I imagine that
","wyobrażam to sobie
"
"I've gone to Switzerland
","Pojechałem do Szwajcarii
"
"Daddy and I sleep in one room, while the boys' study is turned into a sitting room, where I can receive visitors
","Śpimy z tatą w jednym pokoju, a gabinet chłopców zamienia się w salon, w którym mogę przyjmować gości
"
"As a surprise, they've bought new furniture for me, including a tea table, a desk, armchairs and a divan
","Jako niespodzianka kupili dla mnie nowe meble, w tym stolik do herbaty, biurko, fotele i tapczan
"
"Everything's simply wonderful
","Wszystko jest po prostu cudowne
"
"After a few days Daddy gives me 150 guilders -- converted into Swiss money, of course, but I'll call them guilders -- and tells me to buy everything I think I'll need, all for myself
","Po kilku dniach tatuś daje mi 150 guldenów - oczywiście przeliczonych na szwajcarskie pieniądze, ale nazywam je guldenami - i każe mi kupić wszystko, co myślę, że będę potrzebować, wszystko dla siebie
"
"Later on, I get a guilder a week, which I can also use to buy whatever I want
","Później dostaję gulden tygodniowo, za który mogę też kupić, co chcę
"
"I set off with Bernd and buy
","Wyruszam z Berndem i kupuję
"
"3 cotton undershirts 0.50 = 1.50
","3 bawełniane podkoszulki 0,50 = 1,50
"
"3 cotton underpants 0.50 = 1.50
","3 bawełniane kalesony 0,50 = 1,50
"
"3 wool undershirts 0
","3 wełniane podkoszulki 0
"
"75 = 2.25
","75 = 2,25
"
"3 wool underpants 0
","3 wełniane kalesony 0
"
"75 = 2.25
","75 = 2,25
"
"2 petticoats 0.50 = 1.00
","2 halki 0,50 = 1,00
"
"2 bras
","2 staniki
"
"smallest size
","najmniejszy rozmiar
"
"0.50 = 1.00
","0,50 = 1,00
"
"5 pajamas 1.00 = 5.00
","5 piżam 1,00 = 5,00
"
"1 summer robe 2.50 = 2.50
","1 letnia szata 2,50 = 2,50
"
"1 winter robe 3.00 = 3.00
","1 szlafrok zimowy 3,00 = 3,00
"
"2 bed jackets 0
","2 kurtki łóżkowe 0
"
"75 = 1.50
","75 = 1,50
"
"1 small pillow 1.00 = 1.00
","1 mała poduszka 1,00 = 1,00
"
"1 pair of lightweight slippers 1.00 = 1.00
","1 para lekkich kapci 1,00 = 1,00
"
"1 pair of warm slippers 1.50 = 1.50
","1 para ciepłych kapci 1,50 = 1,50
"
"1 pair of summer shoes
","1 para butów letnich
"
"1.50 = 1.50
","1,50 = 1,50
"
"1 pair of summer shoes
","1 para butów letnich
"
"2.00 = 2.00
","2,00 = 2,00
"
"1 pair of winter shoes
","1 para butów zimowych
"
"2.50 = 2.50
","2,50 = 2,50
"
"1 pair of winter shoes
","1 para butów zimowych
"
"3.00 = 3.00
","3,00 = 3,00
"
"2 aprons 0.50 = 1.00
","2 fartuchy 0,50 = 1,00
"
"25 handkerchiefs 0.05 = 1.00
","25 chusteczek 0,05 = 1,00
"
"4 pairs of silk stockings 0.75 = 3.00
","4 pary pończoch jedwabnych 0,75 = 3,00
"
"4 pairs of kneesocks 0.50 = 2.00
","4 pary podkolanówek 0,50 = 2,00
"
"4 pairs of socks 0.25 = 1.00
","4 pary skarpet 0,25 = 1,00
"
"2 pairs of thick stockings 1.00 = 2.00
","2 pary grubych pończoch 1,00 = 2,00
"
"3 skeins of white yarn
","3 motki białej przędzy
"
"underwear, cap
","bielizna, czapka
"
"3 skeins of blue yarn
","3 motki niebieskiej przędzy
"
"sweater, skirt
","sweter, spódnica
"
"3 skeins of variegated yarn
","3 motki z różnobarwnej przędzy
"
"cap, scarf
","czapka, szalik
"
"Scarves, belts, collars, buttons = 1.25
","Szale, paski, kołnierzyki, guziki = 1,25
"
"Plus 2 school dresses
","Plus 2 sukienki szkolne
"
"2 school dresses
","2 sukienki szkolne
"
"2 good dresses
","2 dobre sukienki
"
"2 good dresses
","2 dobre sukienki
"
"1 summer skirt, 1 good winter skirt, 1 school winter skirt, 1 raincoat, 1 summer coat, 1 winter coat, 2 hats, 2 caps
","1 letnia spódnica, 1 dobra spódnica zimowa, 1 szkolna spódnica zimowa, 1 płaszcz przeciwdeszczowy, 1 płaszcz letni, 1 płaszcz zimowy, 2 czapki, 2 czapki
"
"For a total of 10g.00 guilders
","W sumie 10g.00 guldenów
"
"2 purses, 1 ice-skating outfit, 1 pair of skates, 1 case
","2 torebki, 1 strój łyżwiarski, 1 para łyżew, 1 pokrowiec
"
"containing powder, skin cream, foundation cream, cleansing cream, suntan lotion, cotton, first-aid kit, rouge, lipstick, eyebrow pencil, bath salts, bath powder, eau de cologne, soap, powder puff
","zawierający puder, krem ​​do skóry, krem ​​podkładowy, krem ​​oczyszczający, balsam do opalania, bawełna, apteczka, róż, szminka, kredka do brwi, sole do kąpieli, puder do kąpieli, woda kolońska, mydło, puder w puszce
"
"Plus 4 sweaters 1.50, 4 blouses 1.00, miscellaneous items 10.00 and books, presents 4.50
","Plus 4 swetry 1,50, 4 bluzki 1,00, różne pozycje 10,00 i książki, prezenty 4,50
"
"OCTOBER 9, 1942
","9 października 1942 r
"
"Dearest Kitty,
","Najdroższa Kotku,
"
"Today I have nothing but dismal and depressing news to report
","Dziś mam do przekazania tylko ponure i przygnębiające wiadomości
"
"Our many Jewish friends and acquaintances are being taken away in droves
","Wielu naszych żydowskich przyjaciół i znajomych jest masowo zabieranych
"
"The Gestapo is treating them very roughly and transporting them in cattle cars to Westerbork, the big camp in Drenthe to which they're sending all the Jews
","Gestapo traktuje ich bardzo brutalnie i przewozi bydlęcymi wagonami do Westerbork, dużego obozu w Drenthe, do którego wysyłają wszystkich Żydów
"
"Miep told us about someone who'd managed to escape from there
","Miep opowiedziała nam o kimś, komu udało się stamtąd uciec
"
"It must be terrible in Westerbork
","W Westerbork musi być okropnie
"
"The people get almost nothing to eat, much less to drink, as water is available only one hour a day, and there's only one toilet and sink for several thousand people
","Ludzie prawie nic nie jedzą, a tym bardziej piją, ponieważ woda jest dostępna tylko przez godzinę dziennie, a na kilka tysięcy osób jest tylko jedna toaleta i umywalka.
"
"Men and women sleep in the same room, and women and children often have their heads shaved
","Mężczyźni i kobiety śpią w tym samym pokoju, a kobiety i dzieci często mają ogolone głowy
"
"Escape is almost impossible
","Ucieczka jest prawie niemożliwa
"
"many people look Jewish, and they're branded by their shorn heads
","wiele osób wygląda na Żydów i są naznaczone ściętymi głowami
"
"If it's that bad in Holland, what must it be like in those faraway and uncivilized places where the Germans are sending them? We assume that most of them are being murdered
","Jeśli tak źle jest w Holandii, jak to musi być w tych odległych i niecywilizowanych miejscach, do których Niemcy ich wysyłają? Zakładamy, że większość z nich jest mordowana
"
"The English radio says they're being gassed
","Angielskie radio mówi, że są zagazowani
"
"Perhaps that's the quickest way to die
","Być może to najszybszy sposób na śmierć
"
"I feel terrible
","czuje się strasznie
"
"Miep's accounts of these horrors are so heartrending, and Miep is also very distraught
","Relacje Miep o tych okropnościach są tak rozdzierające, a Miep jest również bardzo zrozpaczona
"
"The other day, for instance, the Gestapo deposited an elderly, crippled Jewish woman on Miep's doorstep while they set off to find a car
","Któregoś dnia gestapo umieściło na progu Miep starszą, kaleką Żydówkę, gdy wyruszyli na poszukiwanie samochodu.
"
"The old woman was terrified of the glaring searchlights and the guns firing at the English planes overhead
","Staruszka była przerażona rażącymi reflektorami i działami strzelającymi do angielskich samolotów nad jej głowami
"
"Yet Miep didn't dare let her in
","Jednak Miep nie odważyła się jej wpuścić
"
"Nobody would
","Nikt by tego nie zrobił
"
"The Germans are generous enough when it comes to punishment
","Niemcy są wystarczająco hojni, jeśli chodzi o kary
"
"Bep is also very subdued
","Bep jest również bardzo stonowany
"
"Her boyfriend is being sent to Germany
","Jej chłopak zostaje wysłany do Niemiec
"
"Every time the planes fly over, she's afraid they're going to drop their entire bomb load on Bertus's head
","Za każdym razem, gdy nadlatują samoloty, boi się, że zrzucą cały ładunek bomb na głowę Bertusa
"
"Jokes like
","Żarty jak
"
"Oh, don't worry, they can't all fall on him
","Och, nie martw się, wszyscy nie mogą na niego spaść
"
"One bomb is all it takes
","Wystarczy jedna bomba
"
"are hardly appropriate in this situation
","nie są odpowiednie w tej sytuacji
"
"Bertus is not the only one being forced to work in Germany
","Nie tylko Bertus jest zmuszany do pracy w Niemczech
"
"Trainloads of young men depart daily
","Codziennie odjeżdżają pociągi młodych mężczyzn
"
"Some of them try to sneak off the train when it stops at a small station, but only a few manage to escape unnoticed and find a place to hide
","Część z nich próbuje wymknąć się z pociągu, gdy zatrzymuje się na małej stacji, ale tylko nielicznym udaje się uciec niezauważenie i znaleźć miejsce do ukrycia się
"
"But that's not the end of my lamentations
","Ale to nie koniec moich lamentów
"
"Have you ever heard the term
","Czy kiedykolwiek słyszałeś ten termin
"
"That's the latest punishment for saboteurs
","To ostatnia kara dla sabotażystów
"
"It's the most horrible thing you can imagine
","To najstraszniejsza rzecz, jaką możesz sobie wyobrazić
"
"Leading citizens -- innocent people -- are taken prisoner to await their execution
","Wiodący obywatele - niewinni ludzie - są więzieni w oczekiwaniu na egzekucję
"
"If the Gestapo can't find the saboteur, they simply grab five hostages and line them up against the wall
","Jeśli Gestapo nie może znaleźć sabotażysty, po prostu łapie pięciu zakładników i ustawia ich pod ścianą
"
"You read the announcements of their death in the paper, where they're referred to as
","Czytałeś ogłoszenia o ich śmierci w gazecie, w której są określane jako
"
"fatal accidents.'
","wypadki śmiertelne ”.
"
"Fine specimens of humanity, those Germans, and to think I'm actually one of them
","Niezłe okazy ludzkości, ci Niemcy, i pomyśleć, że jestem jednym z nich
"
"No, that's not true, Hitler took away our nationality long ago
","Nie, to nieprawda, Hitler już dawno odebrał nam obywatelstwo
"
"And besides, there are no greater enemies on earth than the Germans and the Jews
","A poza tym nie ma na ziemi większych wrogów niż Niemcy i Żydzi
"
"Yours, Anne
","Pozdrawiam, Anne
"
"WEDNESDAY, OCTOBER 14, 1942
","ŚRODA, 14 PAŹDZIERNIKA 1942
"
"Dear Kitty,
","Drogi Kiciu,
"
"I'm terribly busy
","Jestem strasznie zajęty
"
"Yesterday I began by translating a chapter from La Belle Nivemaise and writing down vocabulary words
","Wczoraj zacząłem od przetłumaczenia rozdziału z La Belle Nivemaise i zapisania słownictwa
"
"Then I worked on an awful math problem and translated three pages of French grammar besides
","Potem pracowałem nad okropnym problemem matematycznym i oprócz tego przetłumaczyłem trzy strony francuskiej gramatyki
"
"Today, French grammar and history
","Dziś gramatyka i historia francuska
"
"I simply refuse to do that wretched math every day
","Po prostu odmawiam codziennego wykonywania tej przeklętej matematyki
"
"Daddy thinks it's awful too
","Tatuś też uważa, że ​​to okropne
"
"I'm almost better at it than he is, though in fact neither of us is any good, so we always have to call on Margot's help
","Jestem w tym prawie lepszy niż on, chociaż w rzeczywistości żadne z nas nie jest dobre, więc zawsze musimy wezwać pomoc Margot
"
"I'm also working away at my shorthand, which I enjoy
","Pracuję też nad swoim stenogramem, który mi się podoba
"
"Of the three of us, I've made the most progress
","Z naszej trójki zrobiłem największy postęp
"
"I've read The Storm Family
","Czytałem The Storm Family
"
"It's quite good, but doesn't compare to Joop to
","Jest całkiem niezły, ale nie dorównuje Joopowi
"
"Anyway, the same words can be found in both books, which makes sense because they're written by the same author
","W każdym razie te same słowa można znaleźć w obu książkach, co ma sens, ponieważ są one napisane przez tego samego autora
"
"Cissy van Marxveldt is a terrific writer
","Cissy van Marxveldt jest wspaniałą pisarką
"
"I'm definitely going to let my own children read her books too
","Zdecydowanie pozwolę również moim własnym dzieciom czytać jej książki
"
"Moreover, I've read a lot of Korner plays
","Co więcej, czytałem wiele sztuk Kornera
"
"I like the way he writes
","Podoba mi się sposób, w jaki pisze
"
"For example, Hedwig, The Cousin from Bremen, The Governess, The Green Domino, etc
","Na przykład Hedwig, The Cousin from Bremen, The Governess, The Green Domino itp
"
"Mother, Margot and I are once again the best of buddies
","Mama, Margot i ja znów jesteśmy najlepszymi kumplami
"
"It's actually a lot nicer that way
","Tak naprawdę jest o wiele ładniej
"
"Last night Margot and I were lying side by side in my bed
","Ostatniej nocy Margot i ja leżeliśmy obok siebie w łóżku
"
"It was incredibly cramped, but that's what made it fun
","Było niesamowicie ciasno, ale to sprawiało, że było fajnie
"
"She asked if she could read my diary once in a while
","Zapytała, czy może od czasu do czasu czytać mój pamiętnik
"
"Parts of it
","Części tego
"
"I said, and asked about hers
","Powiedziałem i zapytałem o jej
"
"She gave me permission to read her diary as well
","Dała mi również pozwolenie na przeczytanie jej pamiętnika
"
"The conversation turned to the future, and I asked what she wanted to be when she was older
","Rozmowa zeszła na przyszłość i zapytałem, kim chce być, kiedy będzie starsza
"
"But she wouldn't say and was quite mysterious about it
","Ale nie powiedziała i była o tym dość tajemnicza
"
"I gathered it had something to do with teaching
","Uznałem, że ma to coś wspólnego z nauczaniem
"
"of course, I'm not absolutely sure, but I suspect it's something along those lines
","oczywiście nie jestem do końca pewien, ale podejrzewam, że jest to coś podobnego
"
"I really shouldn't be so nosy
","Naprawdę nie powinienem być taki wścibski
"
"This morning I'd laid on Peter's bed, after first having chased him off it
","Dziś rano położyłam się na łóżku Petera, po tym jak go najpierw przegoniłam
"
"He was furious, but I didn't care
","Był wściekły, ale mnie to nie obchodziło
"
"He might consider being a little more friendly to me from time to time
","Od czasu do czasu mógłby pomyśleć, że jest dla mnie trochę bardziej przyjazny
"
"After all, I did give him an apple last night
","W końcu wczoraj dałem mu jabłko
"
"I once asked Margot if she thought I was ugly
","Kiedyś zapytałem Margot, czy uważa, że ​​jestem brzydka
"
"She said that I was cute and had nice eyes
","Powiedziała, że ​​jestem uroczy i mam ładne oczy
"
"A little vague, don't you think?
","Trochę niejasne, nie sądzisz?
"
"Well, until next time
","Cóż, do następnego razu
"
"Anne Frank
","Anna Frank
"
"This morning we all took turns on the scale
","Dziś rano wszyscy na zmianę włączaliśmy wagę
"
"Margot now weighs 132 pounds, Mother 136, Father 155, Anne 96, Peter 14g, Mrs
","Margot waży teraz 132 funty, matka 136, ojciec 155, Anne 96, Piotr 14g, pani
"
"van Daan 117, Mr
","van Daan 117, Mr
"
"van Daan 165
","Jankowska 165
"
"In the three months since I've been here, I've gained 19 pounds
","W ciągu trzech miesięcy, odkąd tu jestem, przytyłem 19 funtów
"
"A lot, huh?
","Dużo, co?
"
"TUESDAY, OCTOBER 20, 1942
","WTOREK, 20 PAŹDZIERNIKA 1942
"
"Dearest Kitty,
","Najdroższa Kotku,
"
"My hand's still shaking, though it's been two hours since we had the scare
","Ręka wciąż mi się trzęsie, chociaż minęły dwie godziny, odkąd mieliśmy ten strach
"
"I should explain that there are five fire extinguishers in the building
","Powinienem wyjaśnić, że w budynku jest pięć gaśnic
"
"The office staff stupidly forgot to warn us that the carpenter, or whatever he's called, was coming to fill the extinguishers
","Personel biurowy głupio zapomniał nas ostrzec, że stolarz, czy jak tam się nazywa, przyszedł napełnić gaśnice
"
"As a result, we didn't bother to be quiet until I heard the sound of hammering on the landing
","W rezultacie nie zawracaliśmy sobie głowy ciszą, dopóki nie usłyszałem odgłosu młota na podeście
"
"across from the bookcase
","naprzeciw regału
"
