"June 12, 1942
","12 czerwca 1942
"
"A good hearty laugh would help better than ten valerian drops, but we've almost forgotten how to laugh
","Dobry, serdeczny śmiech pomógłby lepiej niż dziesięć kropli waleriany, ale prawie zapomnieliśmy, jak się śmiać
"
"Sometimes I'm afraid my face is going to sag with all this sorrow and that my mouth is going to permanently droop at the corners
","Czasami boję się, że moja twarz opadnie z powodu całego tego smutku, a usta na stałe opadną w kącikach
"
"The others aren't doing any better
","Inni nie radzą sobie lepiej
"
"Everyone here is dreading the great terror known as winter
","Wszyscy tutaj boją się wielkiego terroru znanego jako zima
"
"Another fact that doesn't exactly brighten up our days is that Mr
","Kolejnym faktem, który nie rozjaśnia naszych dni, jest to, że pan
"
"van Maaren, the man who works in the warehouse, is getting suspicious about the Annex
","van Maaren, człowiek pracujący w magazynie, zaczyna podejrzewać Aneks
"
"A person with any brains must have noticed by now that Miep sometimes says she's going to the lab, Bep to the file room and Mr
","Osoba z jakimkolwiek mózgiem musiała już zauważyć, że Miep czasami mówi, że idzie do laboratorium, Bep do archiwum, a pan
"
"Kleiman to the Opekta supplies, while Mr
","Kleiman do zaopatrzenia Opekty, podczas gdy p
"
"Kugler claims the Annex doesn't belong to this building at all, but to the one next door
","Kugler twierdzi, że Aneks w ogóle nie należy do tego budynku, ale do sąsiedniego
"
"We wouldn't care what Mr
","Nie obchodzi nas, co pan
"
"van Maaren thought of the situation except that he's known to be unreliable and to possess a high degree of curiosity
","van Maaren pomyślał o tej sytuacji, tyle że wiadomo, że jest zawodny i ma wysoki stopień ciekawości
"
"He's not one who can be put off with a flimsy excuse
","Nie jest kimś, kogo można zniechęcić marną wymówką
"
"One day Mr
","Pewnego dnia panie
"
"Kugler wanted to be extra cautious, so at twenty past twelve he put on his coat and went to the drugstore around the corner
","Kugler chciał być wyjątkowo ostrożny, więc dwadzieścia po dwunastej włożył płaszcz i poszedł do apteki za rogiem
"
"Less than five minutes later he was back, and he sneaked up the stairs like a thief to visit us
","Niecałe pięć minut później wrócił i zakradł się po schodach jak złodziej, aby nas odwiedzić
"
"At one-fifteen he started to leave, but Bep met him on the landing and warned him that van Maaren was in the office
","O pierwszej piętnaście zaczął wychodzić, ale Bep spotkał go na podeście i ostrzegł go, że van Maaren jest w biurze
"
"Kugler did an about-face and stayed with us until one-thirty
","Kugler odwrócił się i został z nami do pierwszej trzydzieści
"
"Then he took off his shoes and went in his stockinged feet
","Potem zdjął buty i wszedł na nogi w pończochach
"
"despite his cold
","pomimo jego przeziębienia
"
"to the front attic and down the other stairway, taking one step at a time to avoid the creaks
","na strych od frontu i w dół drugimi schodami, robiąc krok po kroku, aby uniknąć skrzypienia
"
"It took him fifteen minutes to negotiate the stairs, but he wound up safely in the office after having entered from the outside
","Pokonanie schodów zajęło mu piętnaście minut, ale po wejściu z zewnątrz znalazł się bezpiecznie w biurze
"
"In the meantime, Bep had gotten rid of van Maaren and come to get Mr
","W międzyczasie Bep pozbył się van Maarena i przybył po pana
"
"Kugler from the Annex
","Kugler z Aneksu
"
"But he'd already left and at that moment was still tiptoeing down the stairs
","Ale on już wyszedł iw tej chwili nadal schodził po schodach na palcach
"
"What must the passersby have thought when they saw the manager putting on his shoes outside? Hey, you there, in the socks
","Co musieli pomyśleć przechodnie, gdy zobaczyli menedżera zakładającego buty na zewnątrz? Hej, ty tam, w skarpetkach
"
"Yours, Anne
","Pozdrawiam, Anne
"
"WEDNESDAY, SEPTEMBER 29, 1943
","ŚRODA, 29 WRZEŚNIA 1943
"
"Dearest Kitty,
","Najdroższa Kotku,
"
"It's Mrs
","To pani
"
"van Daan's birthday
","urodziny van Daana
"
"Other than one ration stamp each for cheese, meat and bread, all she received from us was a jar of jam
","Poza jednym znaczkiem na ser, mięso i chleb, otrzymała od nas tylko słoik dżemu
"
"Her husband, Dussel and the office staff gave her nothing but flowers and also food
","Jej mąż, Dussel i pracownicy biura dali jej tylko kwiaty i jedzenie
"
"Such are the times we live in
","Takie są czasy, w których żyjemy
"
"Bep had a nervous fit last week because she had so many errands to do
","Bep dostała nerwowego ataku w zeszłym tygodniu, ponieważ miała tak wiele spraw do załatwienia
"
"Ten times a day people were sending her out for something, each time insisting she go right away or go again or that she'd done it all wrong
","Dziesięć razy dziennie ludzie wysyłali ją po coś, za każdym razem nalegając, żeby odeszła od razu lub znowu, albo że zrobiła wszystko źle
"
"And when you think that she has her regular office work to do, that Mr
","A kiedy myślisz, że ma do wykonania swoją normalną pracę biurową, ten pan
"
"Kleiman is sick, that Miep is home with a cold and that Bep herself has a sprained ankle, boyfriend troubles and a grouchy father, it's no wonder she's at the end of her tether
","Kleiman jest chora, że ​​Miep jest w domu z przeziębieniem, a sama Bep ma skręconą kostkę, kłopoty z chłopakiem i zrzędliwy ojciec, nic dziwnego, że jest na wyczerpaniu
"
"We comforted her and told her that if she'd put her foot down once or twice and say she didn't have the time, the shopping lists would shrink of their own accord
","Pocieszyliśmy ją i powiedzieliśmy, że jeśli raz czy dwa postawi stopę na nogach i powie, że nie ma czasu, listy zakupów skurczyłyby się z własnej woli
"
"Saturday there was a big drama, the likes of which have never been seen here before
","W sobotę odbył się wielki dramat, jakiego nigdy wcześniej tu nie widziano
"
"It started with a discussion of van Maaren and ended in a general argument and tears
","Zaczęło się od dyskusji o van Maarenie, a zakończyło się ogólną kłótnią i łzami
"
"Dussel complained to Mother that he was being treated like a leper, that no one was friendly to him and that, after all, he hadn't done anything to deserve it
","Dussel skarżył się matce, że jest traktowany jak trędowaty, że nikt nie jest dla niego przyjacielski i że przecież nie zrobił nic, by na to zasłużyć
"
"This was followed by a lot of sweet talk, which luckily Mother didn't fall for this time
","Potem nastąpiło wiele słodkich rozmów, na które na szczęście mama nie nabrała się tym razem
"
"She told him we were disappointed in him and that, on more than one occasion, he'd been a source of great annoyance
","Powiedziała mu, że jesteśmy nim rozczarowani i że niejednokrotnie był źródłem wielkiej irytacji
"
"Dussel promised her the moon, but, as usual, we haven't seen so much as a beam
","Dussel obiecał jej księżyc, ale jak zwykle nie widzieliśmy nawet promienia
"
"There's trouble brewing with the van Daans, I can tell
","Widzę, że są kłopoty z van Daansami
"
"Father's furious because they're cheating us
","Ojciec jest wściekły, bo nas oszukują
"
"they've been holding back meat and other things
","powstrzymywali mięso i inne rzeczy
"
"Oh, what kind of bombshell is about to burst now? If only I weren't so involved in all these skirmishes
","Och, jaka bomba zaraz wybuchnie? Gdybym tylko nie był tak zaangażowany we wszystkie te potyczki
"
"If only I could leave here
","Gdybym tylko mógł stąd odejść
"
"They're driving us crazy
","Doprowadzają nas do szału
"
"Yours, Anne
","Pozdrawiam, Anne
"
"SUNDAY, OCTOBER 17, 1943
","NIEDZIELA, 17 PAŹDZIERNIKA 1943
"
"Dearest Kitty,
","Najdroższa Kotku,
"
"Kleiman is back, thank goodness
","Kleiman wrócił, dzięki Bogu
"
"He looks a bit pale, and yet he cheerfully set off to sell some clothes for Mr
","Wygląda trochę blado, a mimo to wesoło wyruszył sprzedać jakieś ubrania dla pana
"
"van Daan
","van Daan
"
"The disagreeable fact is that Mr
","Nieprzyjemnym faktem jest to, że pan
"
"van Daan has run out of money
","van Daanowi zabrakło pieniędzy
"
"He lost his last hundred guilders in the warehouse, which is still creating trouble for us
","Stracił ostatnie sto guldenów w magazynie, co nadal sprawia nam kłopoty
"
"the men are wondering how a hundred guilders could wind up in the warehouse on a Monday morning
","mężczyźni zastanawiają się, jak sto guldenów może znaleźć się w magazynie w poniedziałek rano
"
"Suspicion abounds
","Mnóstwo podejrzeń
"
"Meanwhile, the hundred guilders have been stolen
","W międzyczasie skradziono sto guldenów
"
"Who's the thief?
","Kto jest złodziejem?
"
"But I was talking about the money shortage
","Ale ja mówiłem o braku pieniędzy
"
"van D
","van D.
"
"has scads of dresses, coats and shoes, none of which she feels she can do without
","ma mnóstwo sukienek, płaszczy i butów, bez których nie może się obejść
"
"D.'s suit is difficult to sell, and Peter's bike was put on the block, but is back again, since nobody wanted it
","Kombinezon D. jest trudny do sprzedania, a rower Petera został postawiony na bloku, ale wrócił z powrotem, ponieważ nikt go nie chciał
"
"But the story doesn't end there
","Ale na tym historia się nie kończy
"
"You see, Mrs
","Widzisz, pani
"
"van D
","van D.
"
"is going to have to part with her fur coat
","będzie musiała rozstać się z futrem
"
"In her opinion, the firm should pay for our upkeep, but that's ridiculous
","Jej zdaniem firma powinna płacić za nasze utrzymanie, ale to śmieszne
"
"They just had a flaming row about it and have entered the
","Po prostu pokłócili się o to i weszli do
"
"oh, my sweet Putti
","och, moje słodkie Putti
"
"darling Kerli
","kochana Kerli
"
"stage of reconciliation
","etap pojednania
"
"My mind boggles at the profanity this honorable house has had to endure in the past month
","W głowie mi się nie mieści wulgaryzmów, jakie ten zaszczytny dom musiał znosić w ciągu ostatniego miesiąca
"
"Father walks around with his lips pressed together, and whenever he hears his name, he looks up in alarm, as if he's afraid he'll be called upon to resolve another delicate problem
","Ojciec chodzi z zaciśniętymi ustami, a gdy słyszy jego imię, podnosi zaniepokojenie, jakby się bał, że zostanie wezwany do rozwiązania innego delikatnego problemu.
"
"Mother's so wrought up her cheeks are blotched with red, Margot complains of headaches, Dussel can't sleep, Mrs
","Matka jest tak wypierana, jej policzki są poplamione czerwienią, Margot skarży się na bóle głowy, Dussel nie może zasnąć, pani
"
"van D
","van D.
"
"frets and fumes all day long, and I've gone completely round the bend
","progi i opary przez cały dzień, a ja całkowicie przeszedłem za zakręt
"
"To tell you the truth, I sometimes forget who we're at odds with and who we're not
","Prawdę mówiąc, czasami zapominam, z kim się kłócimy, a kim nie
"
"The only way to take my mind off it is to study, and I've been doing a lot of that lately
","Jedynym sposobem na oderwanie się od tego jest nauka, a ostatnio często to robię
"
"Yours, Anne
","Pozdrawiam, Anne
"
"FRIDAY, OCTOBER 29, 1943
","PIĄTEK 29 PAŹDZIERNIKA 1943 R.
"
"My dearest Kitty,
","Moja najdroższa koteczku,
"
"Kleiman is out again
","Kleiman znowu odpadł
"
"his stomach won't give him a moment's peace
","jego żołądek nie da mu ani chwili spokoju
"
"He doesn't even know whether it's stopped bleeding
","Nie wie nawet, czy przestało krwawić
"
"He came to tell us he wasn't feeling well and was going home, and for the first time he seemed really down
","Przyszedł, aby nam powiedzieć, że nie czuje się dobrze i idzie do domu, i po raz pierwszy wydawał się naprawdę przygnębiony
"
"and Mrs
","i pani
"
"van D
","van D.
"
"have had more raging battles
","stoczyli więcej szalejących bitew
"
"The reason is simple
","Powód jest prosty
"
"they're broke
","są spłukani
"
"They wanted to sell an overcoat and a suit of Mr
","Chcieli sprzedać płaszcz i garnitur pana
"
"van D.'s, but were unable to find any buyers
","van D.'s, ale nie mogli znaleźć kupców
"
"His prices were way too high
","Jego ceny były zbyt wysokie
"
"Some time ago Mr
","Jakiś czas temu Mr.
"
"Kleiman was talking about a furrier he knows
","Kleiman mówił o kuśnierze, którego zna
"
"This gave Mr
","To dało Mr
"
"van D
","van D.
"
"the idea of selling his wife's fur coat
","pomysł sprzedaży futra żony
"
"It's made of rabbit skin, and she's had it for seventeen years
","Jest zrobiony ze skóry królika i nosi go od siedemnastu lat
"
"van D
","van D.
"
"got 325 guilders for it, an enormous amount
","dostałem za to 325 guldenów, ogromną kwotę
"
"She wanted to keep the money herself to buy new clothes after the war, and it took some doing before Mr
","Chciała sama zatrzymać pieniądze na zakup nowych ubrań po wojnie, a zanim pan
"
"van D
","van D.
"
"could make her understand that it was desperately needed to cover household expenses
","mogła sprawić, że zrozumiała, że ​​było to rozpaczliwie potrzebne do pokrycia wydatków domowych
"
"You can't imagine the screaming, shouting, stamping of feet and swearing that went on
","Nie możesz sobie wyobrazić krzyków, krzyków, tupania stóp i przekleństw, które miały miejsce
"
"It was terrifying
","To było przerażające
"
"My family stood holding its breath at the bottom of the stairs, in case it might be necessary to drag them apart
","Moja rodzina stała wstrzymując oddech na dole schodów, na wypadek, gdyby trzeba było je rozdzielić
"
"All the bickering, tears and nervous tension have become such a stress and strain that I fall into my bed at night crying and thanking my lucky stars that I have half an hour to myself
","Wszystkie kłótnie, łzy i napięcie nerwowe stały się takim stresem i napięciem, że padam w nocy do łóżka płacząc i dziękując moim szczęśliwym gwiazdom, że mam pół godziny dla siebie
"
"I'm doing fine, except I've got no appetite
","Czuję się dobrze, tylko że nie mam apetytu
"
"I keep hearing
","Ciągle słyszę
"
"Goodness, you look awful
","Boże, wyglądasz okropnie
"
"I must admit they're doing their best to keep me in condition
","Muszę przyznać, że robią wszystko, co w ich mocy, aby utrzymać mnie w dobrej kondycji
"
"they're plying me with dextrose, cod-liver oil, brewer's yeast and calcium
","podają mi dekstrozę, tran z dorsza, drożdże piwne i wapń
"
"My nerves often get the better of me, especially on Sundays
","Często działają mi nerwy, zwłaszcza w niedziele
"
"that's when I really feel miserable
","wtedy naprawdę czuję się nieszczęśliwy
"
"The atmosphere is stifling, sluggish, leaden
","Atmosfera jest duszna, powolna, ołowiana
"
"Outside, you don't hear a single bird, and a deathly, oppressive silence hangs over the house and clings to me as if it were going to drag me into the deepest regions of the underworld
","Na zewnątrz nie słychać ani jednego ptaka, a śmiertelna, przytłaczająca cisza wisi nad domem i przylega do mnie, jakby miała wciągnąć mnie w najgłębsze rejony podziemi
"
"At times like these, Father, Mother and Margot don't matter to me in the least
","W takich chwilach ojciec, matka i Margot nie mają dla mnie żadnego znaczenia
"
"I wander from room to room, climb up and down the stairs and feel like a songbird whose wings have been ripped off and who keeps hurling itself against the bars of its dark cage
","Wędruję z pokoju do pokoju, wspinam się i schodzę po schodach i czuję się jak śpiewający ptak, któremu zerwano skrzydła i który wciąż rzuca się o pręty swojej ciemnej klatki
"
"Let me out, where there's fresh air and laughter
","Wypuść mnie, gdzie jest świeże powietrze i śmiech
"
"a voice within me cries
","głos we mnie krzyczy
"
"I don't even bother to reply anymore, but lie down on the divan
","Nie kłopoczę się już nawet odpowiadaniem, tylko kładę się na sofie
"
"Sleep makes the silence and the terrible fear go by more quickly, helps pass the time, since it's impossible to kill it
","Sen sprawia, że ​​cisza i straszny strach mijają szybciej, pomaga zabić czas, bo nie da się go zabić
"
"Yours, Anne
","Pozdrawiam, Anne
"
"WEDNESDAY, NOVEMBER 3, 1943
","ŚRODA, 3 LISTOPADA 1943
"
"Dearest Kitty,
","Najdroższa Kotku,
"
"To take our minds off matters as well as to develop them, Father ordered a catalog from a correspondence school
","Aby oderwać się od spraw i je rozwijać, Ojciec zamówił katalog w szkole korespondencyjnej
"
"Margot pored through the thick brochure three times without finding anything to her liking and within her budget
","Margot trzykrotnie przejrzała grubą broszurę, nie znajdując niczego, co by jej się podobało iw ramach swojego budżetu
"
"Father was easier to satisfy and decided to write and ask for a trial lesson in
","Ojciec był łatwiejszy do zadowolenia i postanowił napisać i poprosić o próbną lekcję
"
"Elementary Latin
","Elementarna łacina
"
"No sooner said than done
","Nie wcześniej powiedział, niż zrobił
"
"The lesson arrived, Margot set to work enthusiastically and decided to take the course, despite the expense
","Gdy lekcja nadeszła, Margot z entuzjazmem przystąpiła do pracy i pomimo kosztów zdecydowała się na kurs
"
"It's much too hard for me, though I'd really like to learn Latin
","To dla mnie o wiele za trudne, chociaż bardzo chciałbym się nauczyć łaciny
"
"To give me a new project as well, Father asked Mr
","Ojciec poprosił pana o przekazanie mi nowego projektu
"
"Kleiman for a children's Bible so I could finally learn something about the New Testament
","Kleiman za Biblię dla dzieci, abym w końcu mógł dowiedzieć się czegoś o Nowym Testamencie
"
"Are you planning to give Anne a Bible for Hanukkah
","Czy planujesz podarować Annie Biblię na Chanukę
"
"Margot asked, somewhat perturbed
","- zapytała nieco zaniepokojona Margot
"
"Well, maybe St
","Cóż, może św
"
"Nicholas Day would be a better occasion
","Mikołajki to lepsza okazja
"
"Father replied
","- odparł ojciec
"
"Jesus and Hanukkah don't exactly go together
","Jezus i Chanuka nie idą w parze
"
"Since the vacuum cleaner's broken, I have to take an old brush to the rug every night
","Ponieważ odkurzacz się zepsuł, muszę co wieczór przynosić do dywanu starą szczotkę
"
"The window's closed, the light's on, the stove's burning, and there I am brushing away at the rug
","Okno jest zamknięte, światło włączone, piec się pali, a ja odgarniam dywan
"
"That's sure to be a problem
","To z pewnością problem
"
"I thought to myself the first time
","Pomyślałem sobie za pierwszym razem
"
"There're bound to be complaints
","Z pewnością będą skargi
"
"I was right
","miałem rację
"
"Mother got a headache from the thick clouds of dust whirling around the room, Margot's new Latin dictionary was caked with dirt, and rim grumbled that the
","Matkę rozbolała głowa od gęstych kłębów kurzu wirujących po pokoju, nowy łaciński słownik Margot był oblepiony brudem, a krawędź narzekała, że
"
"floor didn't look any different anyway
","podłoga i tak nie wyglądała inaczej
"
"Small thanks for my pains
","Małe dzięki za mój ból
"
"We've decided that from now on the stove is going to be lit at seven-thirty on Sunday mornings instead of five-thirty
","Zdecydowaliśmy, że od teraz piec będzie zapalany o siódmej trzydzieści w niedzielne poranki zamiast o wpół do szóstej trzydzieści.
"
"I think it's risky
","Myślę, że to ryzykowne
"
"What will the neighbors think of our smoking chimney?
","Co sąsiedzi pomyślą o naszym dymiącym kominie?
"
"It's the same with the curtains
","Tak samo jest z zasłonami
"
"Ever since we first went into hiding, they've been tacked firmly to the windows
","Odkąd zaczęliśmy się ukrywać, były mocno przyczepione do okien
"
"Sometimes one of the ladies or gentlemen can't resist the urge to peek outside
","Czasami któraś z pań lub panów nie może oprzeć się pokusie wyjrzenia na zewnątrz
"
"The result
","Wynik
"
"a storm of reproaches
","burza wyrzutów
"
"The response
","Odpowiedź
"
"Oh, nobody will notice
","Och, nikt nie zauważy
"
"That's how every act of carelessness begins and ends
","Tak zaczyna się i kończy każdy akt nieostrożności
"
"No one will notice, no one will hear, no one will pay the least bit of attention
","Nikt nie zauważy, nikt nie usłyszy, nikt nie zwróci najmniejszej uwagi
"
"Easy to say, but is it true?
","Łatwo powiedzieć, ale czy to prawda?
"
"At the moment, the tempestuous quarrels have subsided
","W tej chwili burzliwe kłótnie ucichły
"
"only Dussel and the van Daans are still at loggerheads
","tylko Dussel i van Daans wciąż się kłócą
"
"When Dussel is talking about Mrs
","Kiedy Dussel mówi o pani
"
"van D., he invariably calls her' 'that old bat
","van D., niezmiennie nazywa ją „starym nietoperzem”
"
"that stupid hag
","ta głupia wiedźma
"
"and conversely, Mrs
","i odwrotnie, pani
"
"van D
","van D.
"
"refers to our ever so learned gentleman as an
","odnosi się do naszego zawsze uczonego dżentelmena jako
"
"old maid
","stara panna
"
"or a
","lub a
"
"touchy neurotic spinster, etc
","drażliwa neurotyczna stara panna itp
"
"The pot calling the kettle black
","Garnek nazywający czajnik czarnym
"
"Yours, Anne
","Pozdrawiam, Anne
"
"MONDAY EVENING, NOVEMBER 8, 1943
","PONIEDZIAŁKOWY WIECZÓR 8 LISTOPADA 1943
"
"Dearest Kitty,
","Najdroższa Kotku,
"
"If you were to read all my letters in one sitting, you'd be struck by the fact that they were written in a variety of moods
","Gdybyś przeczytał wszystkie moje listy za jednym razem, uderzyłby cię fakt, że zostały napisane w różnych nastrojach
"
"It annoys me to be so dependent on the moods here in the Annex, but I'm not the only one
","Denerwuje mnie, że jestem tak zależny od nastrojów w Aneksie, ale nie jestem jedyny
"
"we're all subject to them
","wszyscy podlegamy im
"
"If I'm engrossed in a book, I have to rearrange my thoughts before I can mingle with other people, because otherwise they might think I was strange
","Jeśli jestem pochłonięty książką, muszę zmienić układ myśli, zanim będę mógł wmieszać się w inne osoby, ponieważ w przeciwnym razie mogą pomyśleć, że jestem dziwny
"
"As you can see, I'm currently in the middle of a depression
","Jak widać, jestem obecnie w środku depresji
"
"I couldn't really tell you what set it off, but I think it stems from my cowardice, which confronts me at every turn
","Naprawdę nie mogłem ci powiedzieć, co to wywołało, ale myślę, że wynika to z mojego tchórzostwa, które napotyka mnie na każdym kroku
"
"This evening, when Bep was still here, the doorbell rang long and loud
","Tego wieczoru, kiedy Bep jeszcze tu był, dzwonek do drzwi zadzwonił długo i głośno
"
"I instantly turned white, my stomach churned, and my heart beat wildly -- and all because I was afraid
","Natychmiast zrobiłem się biały, mój żołądek skręcił się, a moje serce biło dziko - i wszystko dlatego, że się bałem
"
"At night in bed I see myself alone in a dungeon, without Father and Mother
","W nocy w łóżku widzę siebie samego w lochu, bez ojca i matki
"
"Or I'm roaming the streets, or the Annex is on fire, or they come in the middle of the night to take us away and I crawl under my bed in desperation
","Albo włóczę się po ulicach, albo Aneks się pali, albo przychodzą w środku nocy, żeby nas zabrać, a ja czołgam się pod łóżkiem w desperacji
"
"I see everything as if it were actually taking place
","Widzę wszystko tak, jakby faktycznie miało miejsce
"
"And to think it might all happen soon
","I pomyśleć, że to wszystko może się wkrótce wydarzyć
"
"Miep often says she envies us because we have such peace and quiet here
","Miep często mówi, że nam zazdrości, bo mamy tu taki spokój i ciszę
"
"That may be true, but she's obviously not thinking about our fear
","Może to prawda, ale ona najwyraźniej nie myśli o naszym strachu
"
"I simply can't imagine the world will ever be normal again for us
","Po prostu nie mogę sobie wyobrazić, że świat kiedykolwiek znów będzie dla nas normalny
"
"I do talk about
","O czym mówię
"
"after the war
","po wojnie
"
"but it's as if I were talking about a castle in the air,
","ale to tak, jakbym mówił o zamku w powietrzu,
"
"something that can Ii never come true
","coś, co nigdy się nie spełni
"
"I see the eight of us in the Annex as if we were a patch of blue sky surrounded by menacing black clouds
","Widzę nas ośmiu w Aneksie, jakbyśmy byli skrawkiem błękitnego nieba otoczonego groźnymi czarnymi chmurami
"
"The perfectly round spot on which we're standing is still safe, but the clouds are moving in on us, and the ring between us and the approaching danger is being pulled tighter and tighter
","Idealnie okrągłe miejsce, w którym stoimy, jest nadal bezpieczne, ale chmury zbliżają się do nas, a pierścień między nami a zbliżającym się niebezpieczeństwem jest coraz mocniejszy
"
"We're surrounded by darkness and danger, and in our desperate search for a way out we keep bumping into each other
","Otacza nas ciemność i niebezpieczeństwo, a w naszych desperackich poszukiwaniach wyjścia wpadamy na siebie nawzajem
"
"We look at the fighting down below and the peace and beauty up above
","Patrzymy na walkę na dole i na spokój i piękno na górze
"
"In the meantime, we've been cut off by the dark mass of clouds, so that we can go neither up nor down
","W międzyczasie odcięła nas ciemna masa chmur, więc nie możemy iść ani w górę, ani w dół
"
"It looms before us like an impenetrable wall, trying to crush us, but not yet able to
","Wisi przed nami jak nieprzenikniona ściana, próbując nas zmiażdżyć, ale jeszcze nie jest w stanie
"
"I can only cry out and implore
","Mogę tylko krzyczeć i błagać
"
"Oh, ring, ring, open wide and let us out
","Och, dzwoń, dzwoń, otwórz szeroko i wypuść nas
"
"Yours, Anne
","Pozdrawiam, Anne
"
"THURSDAY, NOVEMBER 11, 1943
","CZWARTEK, 11 LISTOPADA 1943
"
"Dearest Kitty,
","Najdroższa Kotku,
"
"I have a good title for this chapter
","Mam dobry tytuł na ten rozdział
"
"Ode to My Fountain Pen
","Oda do mojego pióra wiecznego
"
"In Memoriam
","Ku pamięci
"
"My fountain pen was always one of my most prized possessions
","Moje wieczne pióro zawsze było jednym z moich najcenniejszych przedmiotów
"
"I valued it highly, especially because it had a thick nib, and I can only write neatly with thick nibs
","Bardzo go ceniłem, zwłaszcza że miał grubą stalówkę, a ładnie pisać mogę tylko grubymi stalówkami
"
"It has led a long and interesting fountain-pen life, which I will summarize below
","Wiodło długie i interesujące życie, które podsumuję poniżej
"
"When I was nine, my fountain pen
","Kiedy miałem dziewięć lat, moje wieczne pióro
"
"packed in cotton
","zapakowany w bawełnę
"
"arrived as a
","przybył jako
"
"sample of no commercial value
","Próbka o braku wartości handlowej
"
"all the way from Aachen, where my grandmother
","aż z Akwizgranu, gdzie moja babcia
"
"the kindly donor
","uprzejmy dawca
"
"used to live
","Mieszkałam
"
"I lay in bed with the flu, while the February winds howled around the apartment house
","Leżałem w łóżku z grypą, podczas gdy lutowe wiatry wyły wokół kamienicy
"
"This splendid fountain pen came in a red leather case, and I showed it to my girlfriends the first chance I got
","To wspaniałe pióro wieczne przyszło w czerwonym skórzanym etui i pokazałem je moim koleżankom przy pierwszej nadarzającej się okazji
"
"Me, Anne Frank, the proud owner of a fountain pen
","Ja, Anne Frank, dumna właścicielka pióra wiecznego
"
"When I was ten, I was allowed to take the pen to school, and to my surprise, the teacher even let me write with it
","Kiedy miałem dziesięć lat, pozwolono mi zabrać pióro do szkoły i ku mojemu zdziwieniu nauczyciel pozwolił mi nawet pisać
"
"When I was eleven, however, my treasure had to be tucked away again, because my sixth-grade teacher allowed us to use only school pens and inkpots
","Jednak kiedy miałem jedenaście lat, mój skarb musiał zostać ponownie schowany, ponieważ mój nauczyciel z szóstej klasy pozwolił nam używać tylko szkolnych piór i kałamarzów.
"
"When I was twelve, I started at the Jewish Lyceum and my fountain pen was given a new case in honor of the occasion
","Kiedy miałem dwanaście lat, zacząłem naukę w Żydowskim Liceum i na cześć mojego wiecznego pióra dostałem nową walizkę
"
"Not only did it have room for a pencil, it also had a zipper, which was much more impressive
","Nie dość, że miał miejsce na ołówek, miał też zamek błyskawiczny, który robił dużo większe wrażenie
"
"When I was thirteen, the fountain pen went with me to the Annex, and together we've raced through countless diaries and compositions
","Kiedy miałem trzynaście lat, wieczne pióro poszło ze mną do Aneksu i razem ścigaliśmy się przez niezliczone pamiętniki i kompozycje
"
"I'd turned fourteen and my fountain pen was enjoying the last year of its life with me when
","Skończyłem czternaście lat i kiedy moje wieczne pióro cieszyło się ze mną ostatnim rokiem życia
"
"It was just after five on Friday afternoon
","Było tuż po piątej w piątkowe popołudnie
"
"I came out of my room and was
","Wyszedłem z mojego pokoju i byłem
"
"about to sit down at the table to write when I was roughly pushed to one side to make room for Margot and Father, who wanted to practice their Latin
","miałam właśnie usiąść przy stole i pisać, kiedy zostałam brutalnie zepchnięta na bok, żeby zrobić miejsce dla Margot i ojca, którzy chcieli ćwiczyć łacinę
"
"The fountain pen remained unused on the table, while its owner, sighing, was forced to make do with a very tiny corner of the table, where she began rubbing beans
","Pióro pozostało nieużywane na stole, a jego właścicielka, wzdychając, musiała zadowolić się bardzo malutkim rogiem stołu, w którym zaczęła trzeć fasolę.
"
"That's how we remove mold from the beans and restore them to their original state
","W ten sposób usuwamy pleśń z ziaren i przywracamy je do pierwotnego stanu
"
"At a quarter to six I swept the floor, dumped the dirt into a newspaper, along with the rotten beans, and tossed it into the stove
","Za kwadrans szósta zamiatałem podłogę, wrzuciłem ziemię wraz ze zgniłą fasolą do gazety i wrzuciłem ją do pieca
"
"A giant flame shot up, and I thought it was wonderful that the stove, which had been gasping its last breath, had made such a miraculous recovery
","Wystrzelił gigantyczny płomień i pomyślałem, że to cudowne, że piec, który wstrzymywał ostatnie tchnienie, dokonał tak cudownego powrotu do zdrowia.
"
"All was quiet again
","Znowu było cicho
"
"The Latin students had left, and I sat down at the table to pick up where I'd left off
","Latynoscy studenci wyszli, a ja usiadłem przy stole, żeby zabrać się do miejsca, w którym przerwałem
"
"But no matter where I looked, my fountain pen was nowhere in sight
","Ale bez względu na to, gdzie spojrzałem, nigdzie nie było widać mojego wiecznego pióra
"
"I took another look
","Spojrzałem jeszcze raz
"
"Margot looked, Mother looked, Father looked, Dussel looked
","Margot patrzyła, matka patrzyła, ojciec patrzył, Dussel patrzył
"
"But it had vanished
","Ale zniknął
"
"Maybe it fell in the stove, along with the beans
","Może wpadł do pieca razem z fasolą
"
"Margot suggested
","- zasugerowała Margot
"
"No, it couldn't have
","Nie, nie mógł
"
"I replied
","Odpowiedziałem
"
"But that evening, when my fountain pen still hadn't turned up, we all assumed it had been burned, especially because celluloid is highly inflammable
","Ale tego wieczoru, kiedy moje pióro wciąż się nie pojawiło, wszyscy zakładaliśmy, że zostało spalone, zwłaszcza, że ​​celuloid jest wysoce łatwopalny
"
